"Exp2-Old-Bst2-neg_1" "Exp2-Old-Bst2-neg_2" "Exp2-Old-Bst2-neg_3" "Exp2-Old-Bst2-neg_4" "Exp2-Old-Bst2-pos_1" "Exp2-Old-Bst2-pos_2" "Exp2-Old-Bst2-pos_3" "Exp2-Old-Bst2-pos_4"
"1700092M07Rik" 0 0 0 0 0 0 5 0
"1700093K21Rik" 0 0 0 1 0 0 0 0
"1700094D03Rik" 203 129 48 186 65 31 47 102
"1700094J05Rik" 0 0 0 0 0 0 0 0
"1700094M24Rik" 0 0 0 0 0 0 0 0
"1700095A21Rik" 1 2 1 0 2 0 0 0
"1700095B10Rik" 0 0 0 0 0 1 0 0
"1700095J12Rik" 0 0 0 0 0 0 0 0
"1700096J18Rik" 0 0 0 0 0 0 0 0
"1700096K18Rik" 138 115 80 413 167 82 448 228
"1700096P03Rik" 0 0 0 0 1 0 0 0
"1700097N02Rik" 6 9 24 12 26 0 32 16
"1700099I09Rik" 1 0 0 0 0 0 0 0
"1700100I10Rik" 0 0 0 0 0 0 0 0
"1700100L14Rik" 0 0 0 0 0 0 0 0
"1700101E01Rik" 0 0 0 28 4 0 2 0
"1700101I11Rik" 0 36 62 0 1 0 0 0
"1700101O22Rik" 1 0 0 0 0 0 0 0
"1700102H20Rik" 65 54 25 20 59 12 83 127
"1700102P08Rik" 0 2 0 33 0 10 0 0
"1700104L18Rik" 0 0 0 0 0 0 0 0
"1700105P06Rik" 0 0 17 38 0 2 15 0
"1700106J16Rik" 0 0 0 0 0 0 0 0
"1700108F19Rik" 0 1 0 16 0 0 0 0
"1700108J01Rik" 0 0 0 0 0 0 0 0
"1700109G14Rik" 0 0 0 31 0 0 0 0
"1700109G15Rik" 0 1 1 0 0 0 0 0
"1700109H08Rik" 1 0 11 15 13 0 0 10
"1700109I08Rik" 0 1 0 0 0 0 0 0
"1700109K24Rik" 0 0 8 13 14 0 23 0
"1700110C19Rik" 0 1 0 11 0 0 0 0
"1700110I01Rik" 0 0 0 0 0 0 0 0
"1700110I07Rik" 0 0 0 0 0 0 0 0
"1700110K17Rik" 0 0 0 0 0 0 0 0
"1700111N16Rik" 0 0 0 0 0 0 0 0
"1700112E06Rik" 26 0 0 21 13 5 1 36
"1700112H15Rik" 0 1 0 0 1 1 0 0
"1700112J05Rik" 0 0 0 0 0 0 0 0
"1700112J16Rik" 0 1 2 0 0 0 0 0
"1700113A16Rik" 131 78 279 144 422 95 261 247
"1700113B09Rik" 0 0 0 0 0 0 0 0
"1700113H08Rik" 20 10 36 4 21 5 3 13
"1700116B05Rik" 0 0 0 0 0 0 0 0
"1700119H24Rik" 0 0 0 0 0 0 0 0
"1700120C14Rik" 0 0 0 0 8 0 0 7
"1700120E14Rik" 0 0 0 0 0 0 0 0
"1700120G07Rik" 0 0 0 0 0 0 0 0
"1700120K04Rik" 0 0 0 1 0 5 1 0
"1700121L16Rik" 0 0 0 0 0 0 0 0
"1700121N20Rik" 0 0 0 0 0 0 0 0
"1700122C19Rik" 0 0 1 1 0 0 0 0
"1700122O11Rik" 0 0 0 0 0 0 0 0
"1700123I01Rik" 0 0 0 7 0 0 0 1
"1700123J17Rik" 0 0 0 0 0 1 0 0
"1700123K08Rik" 0 0 0 0 1 0 0 0
"1700123L14Rik" 0 0 1 0 0 0 1 0
"1700123M08Rik" 62 57 108 101 151 52 87 186
"1700123O12Rik" 0 0 0 0 0 0 0 0
"1700123O20Rik" 991 709 1402 879 1061 420 1020 858
"1700123O21Rik" 0 0 0 0 0 0 0 0
"1700124L16Rik" 61 49 19 27 24 9 28 44
"1700125G02Rik" 0 0 0 0 1 0 0 0
"1700125G22Rik" 0 0 0 0 0 0 0 0
"1700125H03Rik" 0 0 0 0 0 0 0 0
"1700125H20Rik" 0 1 0 35 11 2 83 1
"1700126H18Rik" 0 0 0 0 0 0 0 1
"1700128A07Rik" 0 0 0 0 0 0 0 0
"1700128F08Rik" 0 0 0 0 0 0 0 0
"1700129C05Rik" 0 1 0 0 0 0 0 0
"1810006J02Rik" 0 0 0 0 0 0 0 0
